Domain,#Quads of Subset,#Entities of class,Properties and Density
centralcoastplayers.com,10352,204,{'name': 1.0}
atfdecor.com,20084,73,{}
carollo.com,40747,254,{'name': 1.0}
kiadoiroda.hu,8234,227,{'name': 1.0}
ajanssinop.com,4305,122,{'name': 1.0}
briggsandbriggs.com,4540,288,{'name': 1.0}
hellowatt.fr,8127,201,{'name': 1.0}
mscarchitecture.com,1284,17,{'name': 1.0}
egopowerplus.nl,7744,350,{'name': 1.0}
hungryhomebuyers.com,6025,38,{'containsPlace': 1.0}
rolairrepair.com,20273,72,{'geo': 1.0}
cantiendat.com,7593,194,{'name': 1.0}
wibaie.fr,2486,60,{'address': 1.0}
beaconelectricalservices.com,12589,54,{'name': 1.0}
cabacrown.net,13388,212,{'name': 1.0}
hotintim.com,6967,50,{'name': 1.0}
asteraviation.it,800,8,{'name': 1.0}
michigancosmeticsurgery.com,24895,164,{'geo': 1.0}
thelawofwe.com,35477,548,{'name': 1.0}
dumpsterrentalsdepot.ca,3472,200,{'name': 1.0}
bhushavali.com,1633,44,{'name': 1.0}
15haber.com,1626,42,{'name': 1.0}
fiabverona.it,4285,80,{'name': 1.0}
urfahaber63.com,9052,232,{'name': 1.0}
holahorro.mx,11527,30,{'name': 1.0}
up-stage.jp,5476,58,{'name': 1.0}
datasciencedojo.com,510,6,{'name': 1.0}
seasoncontrolhvac.com,1890,10,{'name': 1.0}
kinderpraxis-dogan.de,389,4,{'name': 1.0}
versacetimbers.com.au,7122,28,{}
discoverafrica.com,7267,121,{'name': 0.8512396694214877}
sindirgihaber.com,71641,1936,{'name': 1.0}
perthhomecleaners.com.au,4812,46,{'name': 1.0}
haberyazilimi.xyz,704,20,{'name': 1.0}
azrescueplumbing.com,1326,7,{'geo': 1.0}
azski.com.ua,3301,168,{'name': 1.0}
campus.sanofi,4978,248,{'name': 1.0}
lawhelpmn.org,15153,230,{'name': 1.0}
starbuildersllc.com,7989,78,{'name': 1.0}
rennit.nyc,15968,46,{'address': 1.0}
bebemovil.com,1638,21,{'name': 1.0}
euromedicahospital.ro,6778,27,{'name': 1.0}
household-goods-moving-and-storage.com,9133,136,{'name': 1.0}
kermanillp.com,13315,31,{'name': 1.0}
jesi.an.it,986,28,{'name': 1.0}
cashcardsunlimited.com,108,3,{}
cosmeticlaserskinsurgery.com,16237,102,{'name': 1.0}
drgreenrelief.com,454,4,{'name': 1.0}
pagehome.co.za,418,14,{'name': 1.0}
protectiondog.com,28937,111,{'name': 1.0}
talentnetgroup.com,3120,46,{'name': 1.0}
egopowerplus.be,5640,252,{'name': 1.0}
salidocteam.ch,364,5,{'name': 1.0}
thunderriverrenegades.com,4591,47,{'name': 1.0}
thedelaunay.com,130,1,{'name': 1.0}
gasledsign.com,15254,1488,{'name': 1.0}
mckm.com.ua,15,1,{'address': 1.0}
qualitycharters.org,16118,200,{'name': 1.0}
europe.bzh,10345,254,{'name': 1.0}
meadowsgaragedoors.com,6271,29,{'geo': 1.0}
nicolosi.ct.it,264,12,{'name': 1.0}
masslegalhelp.org,82,2,{'name': 1.0}
mencheymusic.com,33748,495,{'name': 1.0}
mylaw.vn,1573,31,{'name': 1.0}
tiemannlawfirm.com,64596,6554,{'name': 1.0}
maidbrigade.com,3038,29,{'geo': 1.0}
hankeylawoffice.com,45972,2160,{'name': 1.0}
usapiperepair.com,10462,43,{'geo': 1.0}
bigbuy.vn,10593,29,{}
housemovers.co.za,12459,238,{'name': 1.0}
justfix.app,734,38,{'name': 1.0}
egopowerplus.hu,2757,124,{'name': 1.0}
joanarossello.com,17,1,{'name': 1.0}
obliczleasing.pl,1497,21,{'name': 1.0}
chrisstevensrealestate.co.za,426,15,{'name': 1.0}
newroofproperties.co.za,235,9,{'name': 1.0}
paisajismopia.es,1940,26,{'name': 1.0}
andatphat.com.vn,36098,204,{'name': 1.0}
vizzolopredabissi.mi.it,43,2,{'name': 1.0}
sanvalentinperu.com,144412,1890,{'name': 1.0}
the-sign-store.com,8018,1160,{'name': 1.0}
laforce.ca,1466,23,{'name': 1.0}
m3byg.dk,82,1,{'name': 1.0}
haberledik.com,7133,204,{'name': 1.0}
ajansbalikligol.com,11084,306,{'name': 1.0}
neon-light.net,11682,1728,{'name': 1.0}
rentabox.ru,3001,20,{'name': 1.0}
polarbearmeds.com,5298,136,{'name': 1.0}
bauformatbc.com,10452,114,{'name': 1.0}
abetonecutigliano.pt.it,990,34,{'name': 1.0}
fortmcmurraylocksmith.com,2517,22,{'name': 1.0}
buki.org.pl,21334,58,{'geo': 1.0}
lovero.so.it,717,14,{'name': 1.0}
fridayticket.com,7192,97,{'address': 1.0}
luminouswindshieldrepair.com,238,3,{}
swindoncaravansgroup.com,3631,155,{'name': 1.0}
collaborativenow.com,3513,33,{'name': 1.0}
canvashealth.org,208,4,{'name': 1.0}
gitportesfenetres.ca,189,3,{'name': 1.0}
yeu-annonces.com,26453,320,{'address': 1.0}
ces.ro,59160,406,{'name': 1.0}
pandahr.co,735,19,{'name': 1.0}
tamjohnston.com,1867,25,{'name': 1.0}
castelvecchiocalvisio.aq.it,105,2,{'name': 1.0}
madengazetesi.com.tr,2169,56,{'name': 1.0}
carcleaningltd.co.uk,7725,28,{'name': 1.0}
siverekgenclik.com,17053,428,{'name': 1.0}
hypersomnia.info,4008,78,{'name': 1.0}
main-media.co.uk,1684,38,{'name': 1.0}
mticket.eu,17994,89,{'address': 1.0}
northgeorgiapipelining.com,5915,35,{'geo': 1.0}
melle.cn.it,237,8,{'name': 1.0}
gif-map.com,1246,43,{'name': 1.0}
mcloone.com,844,17,{'hasmap': 1.0}
nw-gewerbe.ch,187,13,{'name': 1.0}
joesvintageguitarsaz.com,27380,264,{'name': 1.0}
allstateservicegroup.com,672,14,{'name': 1.0}
vetrxdirect.com,28601,1140,{'name': 1.0}
upcodeacademy.com,3169,9,{'name': 1.0}
erzurumsehirgazetesi.com,2313,62,{'name': 1.0}
lucasware.com,117,1,{'geo': 1.0}
empireplumbingheating.com,3982,17,{'geo': 1.0}
dipekwa.co.za,158,6,{'name': 1.0}
kureselhaberajansi.com,2808,78,{'name': 1.0}
draincleaningofid.com,9793,50,{'geo': 1.0}
gardeon.de,5126,48,{'name': 1.0}
verweij-juristen.nl,2872,92,{'name': 1.0}
dmv-written-test.com,15282,212,{'name': 1.0}
citynaturopathic.ca,3562,6,{'containsPlace': 1.0}
seine-et-marne-invest.com,118,1,{'name': 1.0}
mastery.es,1848,86,{'name': 1.0}
swamphead.com,12794,41,{'name': 1.0}
torresmediation.com,1291,12,{'name': 1.0}
vivetreatment.com,5325,95,{'name': 1.0}
otranto.le.it,62,4,{'name': 1.0}
kayanoki.jp,19634,314,{'name': 1.0}
emergencymasterplumbingair.com,4689,24,{'geo': 1.0}
tripowertowing.net,575,7,{'name': 1.0}
dwmaudiology.com.au,1522,17,{'name': 1.0}
iapimmobilier.com,698,15,{'name': 1.0}
propertychoicesa.co.za,83,3,{'name': 1.0}
anadolumedya.net,3709,94,{'name': 1.0}
orw-els.com,1903,33,{'name': 1.0}
gundemotuzbes.com,13189,388,{'name': 1.0}
borgaro-torinese.to.it,66,3,{'name': 1.0}
proluxcleaning.co.uk,10313,40,{'name': 1.0}
renewingmindsets.com,17066,200,{'name': 1.0}
tourismelandes.com,271,9,{'name': 1.0}
kreatywniewdrewnie.pl,684,19,{'name': 1.0}
auto-kam.ru,2826,72,{'name': 1.0}
best-personal-loan-companies.com,1434,98,{'name': 1.0}
drivesafetoday.com,777,8,{'address': 1.0}
matzikamaproperties.co.za,551,19,{'name': 1.0}
bikerentalcentralpark.com,995,30,{'name': 1.0}
cercenasco.to.it,147,5,{'name': 1.0}
varano-demelegari.pr.it,163,4,{'name': 1.0}
helcim.com,77,1,{'name': 1.0}
learnfilm.net,561,9,{'name': 1.0}
egopowerplus.de,5290,238,{'name': 1.0}
iowadefenders.com,322,7,{'name': 1.0}
wiretechcompany.com,2623,44,{'name': 1.0}
bissell.co.uk,3027,122,{'name': 1.0}
cmosolution.com,108,2,{'name': 1.0}
feltre.bl.it,1951,38,{'name': 1.0}
signage4businessgroup.com.au,5411,23,{'name': 1.0}
kordonhaber.com,4804,130,{'name': 1.0}
sg-kosmetik.de,3037,38,{'name': 1.0}
cheat-sheets.com,16106,225,{'name': 1.0}
emilieboulud.fr,548,14,{'name': 1.0}
yx1xiu.com,1478,12,{'name': 1.0}
escorts-club.com,15724,116,{'name': 1.0}
claritydentistry.com,4667,18,{'name': 1.0}
arts-direct.com,375,37,{'name': 1.0}
skeenplumbinggas.com,236,3,{'geo': 1.0}
floorlacquers.co.uk,1633,23,{'name': 1.0}
hrblock.ca,768,26,{'name': 1.0}
castellettostura.cn.it,116,4,{'name': 1.0}
duangamuda.vn,1561,42,{'name': 1.0}
izmirgozlem.com,3310,86,{'name': 1.0}
italofinefoods.com,6120,64,{'name': 1.0}
mticket.pl,12407,36,{'address': 1.0}
oonbazul.com,12319,73,{'name': 1.0}
brouwers.nl,778,18,{'name': 1.0}
elaziginsesi.com,1675,48,{'name': 1.0}
hiltonplumbing.com.au,11853,109,{'name': 1.0}
iledefrance-mobilites.fr,6302,217,{'name': 1.0}
askforfunding.com,1294,36,{'address': 1.0}
bitlistime.com,4836,130,{'name': 1.0}
magenta-inc.com,12550,184,{'name': 1.0}
sandracaballerophoto.es,98,2,{'name': 1.0}
geobid.pl,3432,46,{'name': 1.0}
lassemblage.eu,53,8,{'name': 1.0}
centralcoasttheatre.com,92932,1866,{'name': 1.0}
cascadiapowerwashing.com,114,2,{'name': 1.0}
singlesover70.co.uk,249,24,{'name': 1.0}
junkcarsinorlandoflorida.com,1490,26,{'Name': 1.0}
bienhoaapartment.com,3110,74,{'name': 1.0}
googlemagazin.com,859,24,{'name': 1.0}
maritimetrustee.ca,3236,7,{'containsPlace': 1.0}
bensonbingham.com,92175,155,{'name': 1.0}
dropkick.co.uk,3925,22,{'name': 1.0}
xn-----7kcallcdadxdvb4dicighhci2ahr7f5cxg.xn--p1ai,331,8,{'name': 1.0}
eskisehirdurum.com,6176,85,{'name': 1.0}
papercare.fr,68191,213,{'name': 1.0}
watersidepoolscapes.com,20909,22,{}
gofarrellplumbing.com,7552,34,{'geo': 1.0}
team4hand.com,1867,13,{'containsPlace': 1.0}
devereinsulation.com,727,6,{'name': 1.0}
egopowerplus.co.za,2968,134,{'name': 1.0}
poseidonexpeditions.com,1525,26,{'address': 1.0}
protrainer.fr,20861,176,{}
giresunsonses.com,2796,80,{'name': 1.0}
thelasallenetwork.com,51708,807,{'name': 1.0}
chipperplumbing.com,4410,20,{'geo': 1.0}
campbellcorp.net,1406,29,{'name': 1.0}
verzuolo.cn.it,676,23,{'name': 1.0}
manisahaberajansi.com,6566,180,{'name': 1.0}
mrct03.com,117,3,{'name': 1.0}
travaux-sans-tranchee.com,470,13,{'name': 1.0}
